UID,Input to test,Input to Entity Uder Test,Output,Message Under test,Test Name,Description,Entity under test,Requirement,Requirement Source,Profile,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Note,Comments
AA-Entity Configuration response-metadata-value,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types cannot be repeated and must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'","Trigger To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types cannot be repeated and must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'","Compliant if each key in metadata is present only once and is a value between 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer', not compliant otherwise",Entity Configuration response,Does the metadata parameter contain only allowed types and only once for each,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the metadata parameter is analyzed. This must be a JSON object with each key representing a type of metadata. These types cannot be repeated and must be a value among the following: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'",AA,"Allowed metadata types are: 'openid_relying_party', 'openid_provider', 'federation_entity', 'oauth_authorization_server', 'oauth_resource', 'trust_mark_issuer'",SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,,,,
AA-Trust Mark status response-metadata-value,Trust Mark status endpoint response,"Trigger In order to check if the trust mark status endpoint of the AA correctly verifies valid trust marks, a valid trust mark can be sent to the endpoint and the response analyzed",HTTP 200 OK response containing the claim 'active' set to true,Trust Mark status response,Does the Entity expose the trust mark status endpoint,"In order to check if the trust mark status endpoint of the AA correctly verifies valid trust marks, a valid trust mark can be sent to the endpoint and the response analyzed",AA,"In addition to the Federation endpoints reported before, the Entities of type TA or SA MUST provide the trust mark status endpoint. It allows an Entity to test if a TM is still active or not.",SPID_CIE_OIDC#federation-endpoints; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/federation_endpoint.html,OIDC Federation,,,Chiamata assente in implementazione di Giuseppe De Marco,
OP-Authentication response-metadata-value,Authentication response,Authentication request,"Compliant if the OP shows the consent page, not compiant otherwise",Authentication response,Does the OP show the consent view,"In this test an authentication request is accomplished and, when the correct login credentials are inserted, the presence of the consent view shown to the user is checked. If it is not the case, the OP is not compliant",OP,"If the prompt parameter is set to consent login, the OP forces an authentication request to the user. Then it asks permission to transfer the claims. If the prompt parameter is set to consent, if a Single Sign On session is not yet active, the OP makes an Authentication Request to the user. Then it asks permission to transfer the claims.",SPID_CIE_OIDC#Authentication-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#response,OIDC Core,,,,
OP-Authentication response-metadata-value,The Authentication error response is analyzed and the presence of the error parameter is checked,Trigger The Authentication error response is analyzed and the presence of the error parameter is checked,"Compliant if the Authentication Response contains the error parameter, not Compliant otherwise",Authentication response,Does the Authentication error response contain the error parameter,The Authentication error response is analyzed and the presence of the error parameter is checked,OP,"In case of errors, the response must contain the error and error_description parameters",SPID_CIE_OIDC#Authentication-Error-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#gestione-degli-errori,OIDC Core,,,,
OP-Authentication response-metadata-value,The Authentication error response is analyzed and the presence of the error_description is checked,Trigger The Authentication error response is analyzed and the presence of the error_description is checked,"Compliant if the Authentication Response has the error_description parameter, not Compliant otherwise",Authentication response,Does the Authentication error response contain the error_description parameter,The Authentication error response is analyzed and the presence of the error_description is checked,OP,"In case of errors, the response must contain the error and error_description parameters",SPID_CIE_OIDC#Authentication-Error-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#gestione-degli-errori,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a Request done with the HTTP GET method and the Query String serialization method,Authentication Request done with the HTTP GET method and the Query String serialization method,"Client redirect to the redirect uri with correct query parameters (scope, code_challenge, code_challenge_method and request) insterted in the URL",Authentication response,Does the OP accept GET requests and the Query String serialization method,"An authentication request is sent with the GET method and the parameters (scope, code_challenge, code_challenge_method and request) are set as query components of the request, using the application/x-www-form-urlencoded format",OP,"For conveying the request, the RP MAY use the methods POST and GET. With the method POST the parameters MUST be sent using the Form Serialization. With the method GET the parameters MUST be sent using the Query String Serialization. For more details see",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a Request done with the HTTP GET method and a wrong serialization method,"Authentication Request done with the HTTP GET method and scope, code_challenge, code_challenge_method and request parameters inserted in the body of the request using the application/x-www-form-urlencoded format","Compliant if the Authentication response is HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP accept GET requests with a wrong serialization method,"An authentication request is sent with the GET method and the parameters (scope, code_challenge, code_challenge_method and request) are inserted in the body of the request, using the application/x-www-form-urlencoded format",OP,"For conveying the request, the RP MAY use the methods POST and GET. With the method GET the parameters MUST be sent using the Query String Serialization",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a Request done with the HTTP POST method and the Form serialization method,Authentication Request done with the HTTP POST method and the Form serialization method,"Client redirect to the redirect uri with correct query parameters (scope, code_challenge, code_challenge_method and request) insterted in the URL",Authentication response,Does the OP accept POST requests and the Form serialization method,"An authentication request is sent with the POST method and the parameters (scope, code_challenge, code_challenge_method and request) are inserted in the body of the request, using the application/x-www-form-urlencoded format",OP,"For conveying the request, the RP MAY use the methods POST and GET. With the method POST the parameters MUST be sent using the Form Serialization. With the method GET the parameters MUST be sent using the Query String Serialization. For more details see",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
OP-Authentication response-metadata-value,Authentication Response to a request with a request parameter being a JWT without signature,Authentication Request with the request parameter in the url being a JWT without signature,"Compliant if the Authentication response is HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP refuse Authentication Requests without the signature of the JWT,"This test aims to verify if the OP checks the presence of the signature in an authentication request's JWT. In particular, since the JWT is composed by three parts (header, payload and signature), an Authentication Request is sent with a JWT without the last part of it, the signature.",OP,"The Authorization request is initiated by the user that selects the OP for the authentication. The RP redirects the user to the Authorization Endpoint of the selected OP, including in the request the parameter request that is a signed JWT containing the Authorization Request.",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,Is a JWT signature required (IsSignatureRequired),Support request request parameter iwht unsecured request,,
OP-Authentication response-metadata-value,Authentication Response to a Request done with the HTTP POST method and a wrong serialization method,"Authentication Request done with the HTTP POST method and scope, code_challenge, code_challenge_method and request parameters set as query components of the request, using the application/x-www-form-urlencoded format","Compliant if the Authentication response is HTTP 302 because of invalid_request, not compliant otherwise",Authentication response,Does the OP accept POST requests with a wrong serialization method,"An authentication request is sent with the POST method and the parameters (scope, code_challenge, code_challenge_method and request) are set as query components of the request, using the application/x-www-form-urlencoded format",OP,"For conveying the request, the RP MAY use the methods POST and GET. With the method POST the parameters MUST be sent using the Form Serialization",SPID_CIE_OIDC#Authorization-Endpoint-Request; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/authorization_endpoint.html#request,OIDC Core,,,,
