V2.3,UID,Old Input tester,Input to test,Input to Entity Under Test,Output,Pattern name,Type,Message Under Test,Test Name,Description,Entity under test,Input for generated MR: message to handle,Input for generated MR: Oracle,Requirement,Requirement Source,Profile,Cases,Related to,Type MIG,Severity,Reasons  for chosen Severity,Reference OAuch,Reference OpenID Connect Conformance Profiles v3.0,Reference spid-cie-oidc-django unit test,Reference Test MIG for CIE Core Web,Reference IPZS Test plan document,Reference spid-oidc-check-op,Note,Has Reference,Checked,Divider,Implementation dependent,Session in spid-oidc-cie-django,"Stato del test [E= Eseguito, N= Non eseguito, ND= Non definito, ToDo= Da Eseguire]",Motivazione,Spid-cie-oidc-django result,"Versione Django Feb,21 2024 - 87467470e7c491e91d0e6bb95ada85ec6f71ca77",Test,Django v2.2
x,ALL-Entity Configuration response-HEAD-federation_metadata-presence,/.well-known/openid-federation endpoint response,Entity Configuration Response,Trigger Entity Configuration response,"Compliant if the response is an HTTP 200 OK response, not compliant otherwise",HTTP Status,Correct Input,Entity Configuration response,Does the Entity expose the /.well-known/openid-federation endpoint,"In order to check the presence and correctness of the /.well-known/openid-federation endpoint, an HTTP GET request to the entity's endpoint is done and its entity configuration is expected as response.",ALL,,Entity Configuration response | head | 200,All the Entities MUST contain the /.well-known/openid-federation endpoint. It gives the Entity Configuration,SPID_CIE_OIDC#federation-endpoints; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/federation_endpoint.html,OIDC Federation,"FED, IT",,Passive,L,Wrong handling of status code,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-HEAD-federation_metadata-type,Entity Configuration Response,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the response is the Entity Configuration of the entity, not compliant otherwise",HTTP parameter type,Correct Input,Entity Configuration response,Does the entity configuration of a considered entity return a Federation Metadata in JOSE format when an HTTP GET request is made to its .well-known/openid-federation endpoint,"The considered entity must have published its entity configuration in the .well-known/openid-federation endpoint. So in this test, an HTTP GET request is made to the entity's .well-known/openid-federation endpoint (appended to the URL which identifies the entity) and the response is analyzed. This response has to be the entity configuration of the entity and therefore a Federation Metadata in JOSE format (Content-Type: application/entity-statement+jwt)",ALL,,Entity Configuration response | body | ([\w=]+)\.([\w=]+)\.([\w\-\+\/=]*),"An Entity Configuration (EC) is a Federation Metadata in Jose format, signed by its issuing subject and regarding itself, published at the web endpoint .well-known/openid-federation.",SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,L,Type mismatch,,,,,,"1.1.1, 1.1.2",,TRUE,,,yes,s1,E,,P,P,passed,
o,ALL-Entity Configuration response-HEAD-federation_metadata-value,,Entity Configuration response,Entity Configuration request,"Compliant if the response is an HTTP 200 OK, not compliant otherwise",HTTP Status,Correct Input,Entity Configuration response,Does the entity return a correct HTTP code in the EC response,In this test a correct request to the entity's /.well-known/openid-federation endpoint is made and the response is analyzed. It must be an HTTP 200 OK response,ALL,,Entity Configuration response | head | 200,,SPID_CIE_OIDC#Entity-Configuration-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,L,Wrong handling of status code,,,,,,,,,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-HEAD-federation_metadata-signature,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the signature is correct, not compliant otherwise",JWT signature check,Correct Input,Entity Configuration response,Does the entity correctly sign the Entity Configuration,"To accomplish this test, the Entity configuration of the interested entity is taken and the three parts of the JWT (header, payload and signature) are base64url decoded. Finally, the signature is validated passing the public key (n, e of jwks parameter that must be taken from the Entity Statement of a superior), the JWS Signature (received signature base64url decoded) and the JWS signing input (header and payload base64url encoded and concatenated with a dot dividing them) to a signature verifier configured for the algorithm described in the Entity Configuration Header",ALL,,Entity Configuration response | body | [^\r\n]* | X_key_ALL,Entity Configurations must be signed,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,H,An inaccurate signature poses challenges in maintaining confidentiality and integrity.,,,,,,,"JOSE format can be JWS or JWE, we assume it to be JWS in this case",FALSE,,,yes,s1,E,,P,P,passed - failed for TA,[TA] Signature non corretta
o,ALL-Entity Configuration response-HEAD-content_type-value,,Entity Configuration response,Entity Configuration request,"Compliant if the Content-Type of the response is application/entity-statement+jwt, not compliant otherwise",HTTP parameter value_1,Correct Input,Entity Configuration response,Does the entity return a correct Content-Type in the EC response,In this test a correct request to the entity's /.well-known/openid-federation endpoint is made and the response is analyzed. It must have a Content-Type parameter set to application/entity-statement+jwt,ALL,,Entity Configuration response | head | Content-Type | application/entity-statement+jwt,,SPID_CIE_OIDC#Entity-Configuration-Response; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Mismatch of content,,,,,,,,,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-iss-presence,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the iss parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does entity configuration contain the iss parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the iss parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | iss,The iss parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-iss-type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the iss parameter is a String, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain the correct iss parameter type,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the iss parameter is checked. It must be a Number.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""iss"": {""type"": ""string""}}, ""required"": [""iss""]}",The iss parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-iss-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-iss-specific_type,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the iss parameter is a HTTPS URL, not compliant otherwise",JWT parameter type,Correct Input,Entity Configuration response,Does entity configuration contain the correct iss parameter type,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the iss parameter is checked. It must be a Number.",ALL,,"Entity Configuration response | body | [^\r\n]* | payload |  | {""type"": ""object"", ""properties"": {""iss"": {""type"": ""string"", ""format"": ""uri"", ""pattern"": ""^https://""}}, ""required"": [""iss""]}",The iss parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,IT,ALL-Entity Configuration response-BODY-PAYLOAD-iss-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-iss-value,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the iss parameter is the identifier of the issuing entity, not compliant otherwise",JWT parameter values,Correct Input,Entity Configuration response,Does entity configuration contain the correct iss parameter value,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the iss parameter is checked. It must identify the issuing entity.",ALL,,Entity Configuration response | body | [^\r\n]* | payload | iss | X_url_ALL,The iss parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-BODY-PAYLOAD-iss-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
x,ALL-Entity Configuration response-BODY-PAYLOAD-sub-presence,Entity's Entity Configuration,Entity Configuration response,Trigger Entity Configuration response,"Compliant if the sub parameter is present, not compliant otherwise",JWT parameter presence,Correct Input,Entity Configuration response,Does entity configuration contain the sub parameter,"To accomplish this test, the Entity configuration of the interested entity is taken, the payload is decoded (Base64 encoding) and the presence of the sub parameter is checked",ALL,,Entity Configuration response | body | [^\r\n]* | payload | sub,The sub parameter is required in the Entity Configuration of all the entities,SPID_CIE_OIDC#Entity-Configuration; https://docs.italia.it/italia/spid/spid-cie-oidc-docs/it/versione-corrente/entity_configuration.html#entity-configuration-claim-comuni,OIDC Federation,"FED, IT",ALL-Entity Configuration response-HEAD-federation_metadata-presence,Passive,M,Missing parameter,,,,,,,,FALSE,,,yes,s1,E,,P,P,passed,
